val_loss,epoch,step,train_loss
0.46210572123527527,0,923,
,0,923,0.4469236135482788
0.4492863416671753,1,1847,
,1,1847,0.4444224536418915
0.44490155577659607,2,2771,
,2,2771,0.4418430030345917
0.4427902102470398,3,3695,
,3,3695,0.4402942359447479
0.44271451234817505,4,4619,
,4,4619,0.44025149941444397
0.4436488151550293,5,5543,
,5,5543,0.43937408924102783
0.4434262812137604,6,6467,
,6,6467,0.43818822503089905
0.44461536407470703,7,7391,
,7,7391,0.43821969628334045
0.4432777464389801,8,8315,
,8,8315,0.43769386410713196
0.4435182213783264,9,9239,
,9,9239,0.43747031688690186
