nohup: ignoring input
/home/ubuntu/miniforge3/envs/mm/lib/python3.10/site-packages/dask/dataframe/__init__.py:42: FutureWarning: 
Dask dataframe query planning is disabled because dask-expr is not installed.

You can install it with `pip install dask[dataframe]` or `conda install dask`.
This will raise in a future version.

  warnings.warn(msg, FutureWarning)
ic| args.xfns: ['startlocation', 'closest_11_players']

Train DataSet: (39046, 195), Test DataSet: (12406, 195)
Train Dataset: {(False,): 31605, (True,): 7441}, Test Dataset: {(False,): 9954, (True,): 2452}

[0]	validation_0-logloss:0.43706
[1]	validation_0-logloss:0.40842
[2]	validation_0-logloss:0.39103
[3]	validation_0-logloss:0.37876
[4]	validation_0-logloss:0.36940
[5]	validation_0-logloss:0.36282
[6]	validation_0-logloss:0.35806
[7]	validation_0-logloss:0.35310
[8]	validation_0-logloss:0.34907
[9]	validation_0-logloss:0.34640
[10]	validation_0-logloss:0.34440
[11]	validation_0-logloss:0.34239
[12]	validation_0-logloss:0.34095
[13]	validation_0-logloss:0.33971
[14]	validation_0-logloss:0.33807
[15]	validation_0-logloss:0.33678
[16]	validation_0-logloss:0.33579
[17]	validation_0-logloss:0.33515
[18]	validation_0-logloss:0.33442
[19]	validation_0-logloss:0.33343
[20]	validation_0-logloss:0.33206
[21]	validation_0-logloss:0.33142
[22]	validation_0-logloss:0.33082
[23]	validation_0-logloss:0.33034
[24]	validation_0-logloss:0.32939
[25]	validation_0-logloss:0.32875
[26]	validation_0-logloss:0.32833
[27]	validation_0-logloss:0.32766
[28]	validation_0-logloss:0.32725
[29]	validation_0-logloss:0.32664
[30]	validation_0-logloss:0.32625
[31]	validation_0-logloss:0.32559
[32]	validation_0-logloss:0.32500
[33]	validation_0-logloss:0.32383
[34]	validation_0-logloss:0.32245
[35]	validation_0-logloss:0.32199
[36]	validation_0-logloss:0.32194
[37]	validation_0-logloss:0.32158
[38]	validation_0-logloss:0.32112
[39]	validation_0-logloss:0.32032
[40]	validation_0-logloss:0.31990
[41]	validation_0-logloss:0.31979
[42]	validation_0-logloss:0.31939
[43]	validation_0-logloss:0.31926
[44]	validation_0-logloss:0.31910
[45]	validation_0-logloss:0.31876
[46]	validation_0-logloss:0.31826
[47]	validation_0-logloss:0.31776
[48]	validation_0-logloss:0.31803
[49]	validation_0-logloss:0.31730
[50]	validation_0-logloss:0.31697
[51]	validation_0-logloss:0.31653
[52]	validation_0-logloss:0.31655
[53]	validation_0-logloss:0.31645
[54]	validation_0-logloss:0.31657
[55]	validation_0-logloss:0.31616
[56]	validation_0-logloss:0.31576
[57]	validation_0-logloss:0.31569
[58]	validation_0-logloss:0.31546
[59]	validation_0-logloss:0.31512
[60]	validation_0-logloss:0.31505
[61]	validation_0-logloss:0.31491
[62]	validation_0-logloss:0.31486
[63]	validation_0-logloss:0.31473
[64]	validation_0-logloss:0.31460
[65]	validation_0-logloss:0.31445
[66]	validation_0-logloss:0.31455
[67]	validation_0-logloss:0.31424
[68]	validation_0-logloss:0.31435
[69]	validation_0-logloss:0.31419
[70]	validation_0-logloss:0.31400
[71]	validation_0-logloss:0.31374
[72]	validation_0-logloss:0.31349
[73]	validation_0-logloss:0.31400
[74]	validation_0-logloss:0.31384
[75]	validation_0-logloss:0.31372
[76]	validation_0-logloss:0.31356
[77]	validation_0-logloss:0.31340
[78]	validation_0-logloss:0.31353
[79]	validation_0-logloss:0.31337
[80]	validation_0-logloss:0.31286
[81]	validation_0-logloss:0.31278
[82]	validation_0-logloss:0.31282
[83]	validation_0-logloss:0.31320
[84]	validation_0-logloss:0.31321
[85]	validation_0-logloss:0.31334
[86]	validation_0-logloss:0.31332
[87]	validation_0-logloss:0.31359
[88]	validation_0-logloss:0.31342
[89]	validation_0-logloss:0.31338
[90]	validation_0-logloss:0.31299
[91]	validation_0-logloss:0.31254
[92]	validation_0-logloss:0.31248
[93]	validation_0-logloss:0.31224
[94]	validation_0-logloss:0.31246
[95]	validation_0-logloss:0.31236
[96]	validation_0-logloss:0.31270
[97]	validation_0-logloss:0.31264
[98]	validation_0-logloss:0.31255
[99]	validation_0-logloss:0.31258
########## Train Metrics ##########
{'precision': 0.8613678373382625, 'recall': 0.6888859024324687, 'f1': 0.765531660692951, 'log_loss': 0.20666779328393156, 'brier': 0.06026392475201705, 'roc_auc': 0.9597325507088288}

########## Test Metrics ##########
{'precision': 0.7128065395095368, 'recall': 0.533442088091354, 'f1': 0.6102169349195241, 'log_loss': 0.31413089345839806, 'brier': 0.09597954781678322, 'roc_auc': 0.8916859314674583}

