nohup: ignoring input
/home/ubuntu/miniforge3/envs/mm/lib/python3.10/site-packages/dask/dataframe/__init__.py:42: FutureWarning: 
Dask dataframe query planning is disabled because dask-expr is not installed.

You can install it with `pip install dask[dataframe]` or `conda install dask`.
This will raise in a future version.

  warnings.warn(msg, FutureWarning)
ic| args.xfns: ['startlocation', 'closest_11_players']

Train DataSet: (39046, 195), Test DataSet: (12406, 195)
Train Dataset: {(False,): 31605, (True,): 7441}, Test Dataset: {(False,): 9954, (True,): 2452}

[0]	validation_0-logloss:0.43835
[1]	validation_0-logloss:0.40725
[2]	validation_0-logloss:0.38838
[3]	validation_0-logloss:0.37602
[4]	validation_0-logloss:0.36740
[5]	validation_0-logloss:0.36001
[6]	validation_0-logloss:0.35356
[7]	validation_0-logloss:0.34976
[8]	validation_0-logloss:0.34610
[9]	validation_0-logloss:0.34217
[10]	validation_0-logloss:0.34039
[11]	validation_0-logloss:0.33855
[12]	validation_0-logloss:0.33686
[13]	validation_0-logloss:0.33585
[14]	validation_0-logloss:0.33393
[15]	validation_0-logloss:0.33282
[16]	validation_0-logloss:0.33147
[17]	validation_0-logloss:0.33016
[18]	validation_0-logloss:0.32884
[19]	validation_0-logloss:0.32725
[20]	validation_0-logloss:0.32644
[21]	validation_0-logloss:0.32613
[22]	validation_0-logloss:0.32499
[23]	validation_0-logloss:0.32458
[24]	validation_0-logloss:0.32383
[25]	validation_0-logloss:0.32321
[26]	validation_0-logloss:0.32284
[27]	validation_0-logloss:0.32217
[28]	validation_0-logloss:0.32152
[29]	validation_0-logloss:0.32139
[30]	validation_0-logloss:0.32120
[31]	validation_0-logloss:0.31995
[32]	validation_0-logloss:0.32003
[33]	validation_0-logloss:0.31973
[34]	validation_0-logloss:0.31844
[35]	validation_0-logloss:0.31827
[36]	validation_0-logloss:0.31844
[37]	validation_0-logloss:0.31769
[38]	validation_0-logloss:0.31724
[39]	validation_0-logloss:0.31638
[40]	validation_0-logloss:0.31559
[41]	validation_0-logloss:0.31530
[42]	validation_0-logloss:0.31496
[43]	validation_0-logloss:0.31456
[44]	validation_0-logloss:0.31353
[45]	validation_0-logloss:0.31230
[46]	validation_0-logloss:0.31216
[47]	validation_0-logloss:0.31164
[48]	validation_0-logloss:0.31128
[49]	validation_0-logloss:0.31062
[50]	validation_0-logloss:0.31059
[51]	validation_0-logloss:0.31029
[52]	validation_0-logloss:0.31008
[53]	validation_0-logloss:0.30968
[54]	validation_0-logloss:0.30949
[55]	validation_0-logloss:0.30919
[56]	validation_0-logloss:0.30938
[57]	validation_0-logloss:0.30919
[58]	validation_0-logloss:0.30913
[59]	validation_0-logloss:0.30897
[60]	validation_0-logloss:0.30912
[61]	validation_0-logloss:0.30908
[62]	validation_0-logloss:0.30843
[63]	validation_0-logloss:0.30814
[64]	validation_0-logloss:0.30750
[65]	validation_0-logloss:0.30735
[66]	validation_0-logloss:0.30716
[67]	validation_0-logloss:0.30663
[68]	validation_0-logloss:0.30623
[69]	validation_0-logloss:0.30602
[70]	validation_0-logloss:0.30601
[71]	validation_0-logloss:0.30622
[72]	validation_0-logloss:0.30609
[73]	validation_0-logloss:0.30587
[74]	validation_0-logloss:0.30572
[75]	validation_0-logloss:0.30578
[76]	validation_0-logloss:0.30611
[77]	validation_0-logloss:0.30608
[78]	validation_0-logloss:0.30619
[79]	validation_0-logloss:0.30630
[80]	validation_0-logloss:0.30599
[81]	validation_0-logloss:0.30584
[82]	validation_0-logloss:0.30603
[83]	validation_0-logloss:0.30612
[84]	validation_0-logloss:0.30626
[85]	validation_0-logloss:0.30599
[86]	validation_0-logloss:0.30601
[87]	validation_0-logloss:0.30592
[88]	validation_0-logloss:0.30534
[89]	validation_0-logloss:0.30545
[90]	validation_0-logloss:0.30537
[91]	validation_0-logloss:0.30537
[92]	validation_0-logloss:0.30513
[93]	validation_0-logloss:0.30456
[94]	validation_0-logloss:0.30446
[95]	validation_0-logloss:0.30421
[96]	validation_0-logloss:0.30423
[97]	validation_0-logloss:0.30404
[98]	validation_0-logloss:0.30414
[99]	validation_0-logloss:0.30421
########## Train Metrics ##########
{'precision': 0.8646680216802168, 'recall': 0.6860637011154415, 'f1': 0.7650805545147995, 'log_loss': 0.2066502082793616, 'brier': 0.06020637284389776, 'roc_auc': 0.9607144435769264}

########## Test Metrics ##########
{'precision': 0.7135076252723311, 'recall': 0.534257748776509, 'f1': 0.6110074626865671, 'log_loss': 0.31474052043930545, 'brier': 0.09606738740865395, 'roc_auc': 0.8912060117650491}

