nohup: ignoring input
/home/ubuntu/miniforge3/envs/mm/lib/python3.10/site-packages/dask/dataframe/__init__.py:42: FutureWarning: 
Dask dataframe query planning is disabled because dask-expr is not installed.

You can install it with `pip install dask[dataframe]` or `conda install dask`.
This will raise in a future version.

  warnings.warn(msg, FutureWarning)
ic| args.xfns: ['startlocation', 'closest_11_players']

Train DataSet: (39046, 195), Test DataSet: (12406, 195)
Train Dataset: {(False,): 31605, (True,): 7441}, Test Dataset: {(False,): 9954, (True,): 2452}

[0]	validation_0-logloss:0.43870
[1]	validation_0-logloss:0.40931
[2]	validation_0-logloss:0.39201
[3]	validation_0-logloss:0.37881
[4]	validation_0-logloss:0.36977
[5]	validation_0-logloss:0.36392
[6]	validation_0-logloss:0.35742
[7]	validation_0-logloss:0.35303
[8]	validation_0-logloss:0.34972
[9]	validation_0-logloss:0.34735
[10]	validation_0-logloss:0.34486
[11]	validation_0-logloss:0.34279
[12]	validation_0-logloss:0.34095
[13]	validation_0-logloss:0.33964
[14]	validation_0-logloss:0.33850
[15]	validation_0-logloss:0.33704
[16]	validation_0-logloss:0.33599
[17]	validation_0-logloss:0.33499
[18]	validation_0-logloss:0.33357
[19]	validation_0-logloss:0.33279
[20]	validation_0-logloss:0.33214
[21]	validation_0-logloss:0.33182
[22]	validation_0-logloss:0.33083
[23]	validation_0-logloss:0.33031
[24]	validation_0-logloss:0.32941
[25]	validation_0-logloss:0.32865
[26]	validation_0-logloss:0.32798
[27]	validation_0-logloss:0.32702
[28]	validation_0-logloss:0.32695
[29]	validation_0-logloss:0.32649
[30]	validation_0-logloss:0.32573
[31]	validation_0-logloss:0.32544
[32]	validation_0-logloss:0.32511
[33]	validation_0-logloss:0.32366
[34]	validation_0-logloss:0.32321
[35]	validation_0-logloss:0.32274
[36]	validation_0-logloss:0.32197
[37]	validation_0-logloss:0.32160
[38]	validation_0-logloss:0.32121
[39]	validation_0-logloss:0.32069
[40]	validation_0-logloss:0.32024
[41]	validation_0-logloss:0.31991
[42]	validation_0-logloss:0.31957
[43]	validation_0-logloss:0.31854
[44]	validation_0-logloss:0.31733
[45]	validation_0-logloss:0.31713
[46]	validation_0-logloss:0.31667
[47]	validation_0-logloss:0.31647
[48]	validation_0-logloss:0.31604
[49]	validation_0-logloss:0.31561
[50]	validation_0-logloss:0.31557
[51]	validation_0-logloss:0.31559
[52]	validation_0-logloss:0.31527
[53]	validation_0-logloss:0.31492
[54]	validation_0-logloss:0.31393
[55]	validation_0-logloss:0.31339
[56]	validation_0-logloss:0.31319
[57]	validation_0-logloss:0.31234
[58]	validation_0-logloss:0.31163
[59]	validation_0-logloss:0.31137
[60]	validation_0-logloss:0.31135
[61]	validation_0-logloss:0.31095
[62]	validation_0-logloss:0.31094
[63]	validation_0-logloss:0.31102
[64]	validation_0-logloss:0.31076
[65]	validation_0-logloss:0.31012
[66]	validation_0-logloss:0.31000
[67]	validation_0-logloss:0.30996
[68]	validation_0-logloss:0.30973
[69]	validation_0-logloss:0.30938
[70]	validation_0-logloss:0.30919
[71]	validation_0-logloss:0.30932
[72]	validation_0-logloss:0.30902
[73]	validation_0-logloss:0.30897
[74]	validation_0-logloss:0.30838
[75]	validation_0-logloss:0.30771
[76]	validation_0-logloss:0.30757
[77]	validation_0-logloss:0.30722
[78]	validation_0-logloss:0.30714
[79]	validation_0-logloss:0.30707
[80]	validation_0-logloss:0.30681
[81]	validation_0-logloss:0.30670
[82]	validation_0-logloss:0.30672
[83]	validation_0-logloss:0.30654
[84]	validation_0-logloss:0.30642
[85]	validation_0-logloss:0.30629
[86]	validation_0-logloss:0.30564
[87]	validation_0-logloss:0.30543
[88]	validation_0-logloss:0.30505
[89]	validation_0-logloss:0.30499
[90]	validation_0-logloss:0.30501
[91]	validation_0-logloss:0.30482
[92]	validation_0-logloss:0.30499
[93]	validation_0-logloss:0.30478
[94]	validation_0-logloss:0.30493
[95]	validation_0-logloss:0.30474
[96]	validation_0-logloss:0.30479
[97]	validation_0-logloss:0.30493
[98]	validation_0-logloss:0.30483
[99]	validation_0-logloss:0.30460
########## Train Metrics ##########
{'precision': 0.863928748144483, 'recall': 0.7039376427899476, 'f1': 0.7757701421800948, 'log_loss': 0.20296205532855557, 'brier': 0.0589724167690651, 'roc_auc': 0.9617237333202706}

########## Test Metrics ##########
{'precision': 0.7124582869855395, 'recall': 0.5224306688417618, 'f1': 0.6028235294117648, 'log_loss': 0.31629473141861647, 'brier': 0.09718685378148281, 'roc_auc': 0.8902740534681394}

