nohup: ignoring input
/home/ubuntu/miniforge3/envs/mm/lib/python3.10/site-packages/dask/dataframe/__init__.py:42: FutureWarning: 
Dask dataframe query planning is disabled because dask-expr is not installed.

You can install it with `pip install dask[dataframe]` or `conda install dask`.
This will raise in a future version.

  warnings.warn(msg, FutureWarning)
ic| args.xfns: ['startlocation', 'closest_11_players']

Train DataSet: (39046, 65), Test DataSet: (12406, 65)
Train Dataset: {(False,): 31605, (True,): 7441}, Test Dataset: {(False,): 9954, (True,): 2452}

[0]	validation_0-logloss:0.44886
[1]	validation_0-logloss:0.42649
[2]	validation_0-logloss:0.41255
[3]	validation_0-logloss:0.40198
[4]	validation_0-logloss:0.39528
[5]	validation_0-logloss:0.39100
[6]	validation_0-logloss:0.38742
[7]	validation_0-logloss:0.38454
[8]	validation_0-logloss:0.38159
[9]	validation_0-logloss:0.37934
[10]	validation_0-logloss:0.37713
[11]	validation_0-logloss:0.37605
[12]	validation_0-logloss:0.37465
[13]	validation_0-logloss:0.37329
[14]	validation_0-logloss:0.37235
[15]	validation_0-logloss:0.37068
[16]	validation_0-logloss:0.37013
[17]	validation_0-logloss:0.36878
[18]	validation_0-logloss:0.36829
[19]	validation_0-logloss:0.36754
[20]	validation_0-logloss:0.36667
[21]	validation_0-logloss:0.36575
[22]	validation_0-logloss:0.36525
[23]	validation_0-logloss:0.36476
[24]	validation_0-logloss:0.36450
[25]	validation_0-logloss:0.36362
[26]	validation_0-logloss:0.36229
[27]	validation_0-logloss:0.36203
[28]	validation_0-logloss:0.36199
[29]	validation_0-logloss:0.36115
[30]	validation_0-logloss:0.36059
[31]	validation_0-logloss:0.35997
[32]	validation_0-logloss:0.35991
[33]	validation_0-logloss:0.35915
[34]	validation_0-logloss:0.35926
[35]	validation_0-logloss:0.35915
[36]	validation_0-logloss:0.35901
[37]	validation_0-logloss:0.35876
[38]	validation_0-logloss:0.35885
[39]	validation_0-logloss:0.35873
[40]	validation_0-logloss:0.35865
[41]	validation_0-logloss:0.35827
[42]	validation_0-logloss:0.35823
[43]	validation_0-logloss:0.35804
[44]	validation_0-logloss:0.35788
[45]	validation_0-logloss:0.35782
[46]	validation_0-logloss:0.35785
[47]	validation_0-logloss:0.35777
[48]	validation_0-logloss:0.35808
[49]	validation_0-logloss:0.35790
[50]	validation_0-logloss:0.35789
[51]	validation_0-logloss:0.35771
[52]	validation_0-logloss:0.35753
[53]	validation_0-logloss:0.35783
[54]	validation_0-logloss:0.35729
[55]	validation_0-logloss:0.35721
[56]	validation_0-logloss:0.35686
[57]	validation_0-logloss:0.35672
[58]	validation_0-logloss:0.35689
[59]	validation_0-logloss:0.35726
[60]	validation_0-logloss:0.35709
[61]	validation_0-logloss:0.35728
[62]	validation_0-logloss:0.35664
[63]	validation_0-logloss:0.35695
[64]	validation_0-logloss:0.35700
[65]	validation_0-logloss:0.35639
[66]	validation_0-logloss:0.35635
[67]	validation_0-logloss:0.35669
[68]	validation_0-logloss:0.35645
[69]	validation_0-logloss:0.35666
[70]	validation_0-logloss:0.35690
[71]	validation_0-logloss:0.35688
[72]	validation_0-logloss:0.35691
[73]	validation_0-logloss:0.35699
[74]	validation_0-logloss:0.35726
[75]	validation_0-logloss:0.35730
[76]	validation_0-logloss:0.35745
[77]	validation_0-logloss:0.35772
[78]	validation_0-logloss:0.35767
[79]	validation_0-logloss:0.35754
[80]	validation_0-logloss:0.35747
[81]	validation_0-logloss:0.35744
[82]	validation_0-logloss:0.35704
[83]	validation_0-logloss:0.35708
[84]	validation_0-logloss:0.35692
[85]	validation_0-logloss:0.35687
[86]	validation_0-logloss:0.35730
[87]	validation_0-logloss:0.35715
[88]	validation_0-logloss:0.35682
[89]	validation_0-logloss:0.35662
[90]	validation_0-logloss:0.35652
[91]	validation_0-logloss:0.35618
[92]	validation_0-logloss:0.35615
[93]	validation_0-logloss:0.35612
[94]	validation_0-logloss:0.35644
[95]	validation_0-logloss:0.35660
[96]	validation_0-logloss:0.35674
[97]	validation_0-logloss:0.35692
[98]	validation_0-logloss:0.35678
[99]	validation_0-logloss:0.35674
########## Train Metrics ##########
{'precision': 0.814182290699833, 'recall': 0.5894369036419836, 'f1': 0.6838166510757717, 'log_loss': 0.2528677021318102, 'brier': 0.07632345771360079, 'roc_auc': 0.9382994900281945}

########## Test Metrics ##########
{'precision': 0.6220820189274447, 'recall': 0.40212071778140296, 'f1': 0.48848154570225416, 'log_loss': 0.3644214665966445, 'brier': 0.11561903915701302, 'roc_auc': 0.8505837906572518}

