nohup: ignoring input
/home/ubuntu/miniforge3/envs/mm/lib/python3.10/site-packages/dask/dataframe/__init__.py:42: FutureWarning: 
Dask dataframe query planning is disabled because dask-expr is not installed.

You can install it with `pip install dask[dataframe]` or `conda install dask`.
This will raise in a future version.

  warnings.warn(msg, FutureWarning)

Train DataSet: (39046, 320), Test DataSet: (12406, 320)
Train Dataset: {(False,): 26746, (True,): 12300}, Test Dataset: {(False,): 8596, (True,): 3810}

[0]	validation_0-logloss:0.58795
[1]	validation_0-logloss:0.57166
[2]	validation_0-logloss:0.56317
[3]	validation_0-logloss:0.55851
[4]	validation_0-logloss:0.55527
[5]	validation_0-logloss:0.55251
[6]	validation_0-logloss:0.55212
[7]	validation_0-logloss:0.55107
[8]	validation_0-logloss:0.55101
[9]	validation_0-logloss:0.54993
[10]	validation_0-logloss:0.54931
[11]	validation_0-logloss:0.54932
[12]	validation_0-logloss:0.54924
[13]	validation_0-logloss:0.54922
[14]	validation_0-logloss:0.54961
[15]	validation_0-logloss:0.54933
[16]	validation_0-logloss:0.54909
[17]	validation_0-logloss:0.54914
[18]	validation_0-logloss:0.54949
[19]	validation_0-logloss:0.54901
[20]	validation_0-logloss:0.54904
[21]	validation_0-logloss:0.54921
[22]	validation_0-logloss:0.54911
[23]	validation_0-logloss:0.54904
[24]	validation_0-logloss:0.54978
[25]	validation_0-logloss:0.54943
[26]	validation_0-logloss:0.54959
[27]	validation_0-logloss:0.54970
[28]	validation_0-logloss:0.54993
[29]	validation_0-logloss:0.54964
[30]	validation_0-logloss:0.54978
[31]	validation_0-logloss:0.54973
[32]	validation_0-logloss:0.54978
[33]	validation_0-logloss:0.54995
[34]	validation_0-logloss:0.55011
[35]	validation_0-logloss:0.55039
[36]	validation_0-logloss:0.55014
[37]	validation_0-logloss:0.55088
[38]	validation_0-logloss:0.55098
[39]	validation_0-logloss:0.55093
[40]	validation_0-logloss:0.55149
[41]	validation_0-logloss:0.55114
[42]	validation_0-logloss:0.55122
[43]	validation_0-logloss:0.55120
[44]	validation_0-logloss:0.55122
[45]	validation_0-logloss:0.55179
[46]	validation_0-logloss:0.55175
[47]	validation_0-logloss:0.55203
[48]	validation_0-logloss:0.55169
[49]	validation_0-logloss:0.55186
[50]	validation_0-logloss:0.55205
[51]	validation_0-logloss:0.55242
[52]	validation_0-logloss:0.55257
[53]	validation_0-logloss:0.55271
[54]	validation_0-logloss:0.55303
[55]	validation_0-logloss:0.55385
[56]	validation_0-logloss:0.55391
[57]	validation_0-logloss:0.55468
[58]	validation_0-logloss:0.55518
[59]	validation_0-logloss:0.55547
[60]	validation_0-logloss:0.55578
[61]	validation_0-logloss:0.55564
[62]	validation_0-logloss:0.55545
[63]	validation_0-logloss:0.55592
[64]	validation_0-logloss:0.55620
[65]	validation_0-logloss:0.55660
[66]	validation_0-logloss:0.55657
[67]	validation_0-logloss:0.55685
[68]	validation_0-logloss:0.55699
[69]	validation_0-logloss:0.55679
[70]	validation_0-logloss:0.55691
[71]	validation_0-logloss:0.55758
[72]	validation_0-logloss:0.55806
[73]	validation_0-logloss:0.55861
[74]	validation_0-logloss:0.55916
[75]	validation_0-logloss:0.55930
[76]	validation_0-logloss:0.55927
[77]	validation_0-logloss:0.55929
[78]	validation_0-logloss:0.55985
[79]	validation_0-logloss:0.55994
[80]	validation_0-logloss:0.55983
[81]	validation_0-logloss:0.55963
[82]	validation_0-logloss:0.55976
[83]	validation_0-logloss:0.56001
[84]	validation_0-logloss:0.56005
[85]	validation_0-logloss:0.56049
[86]	validation_0-logloss:0.56021
[87]	validation_0-logloss:0.56032
[88]	validation_0-logloss:0.56040
[89]	validation_0-logloss:0.56067
[90]	validation_0-logloss:0.56111
[91]	validation_0-logloss:0.56168
[92]	validation_0-logloss:0.56175
[93]	validation_0-logloss:0.56178
[94]	validation_0-logloss:0.56177
[95]	validation_0-logloss:0.56182
[96]	validation_0-logloss:0.56166
[97]	validation_0-logloss:0.56204
[98]	validation_0-logloss:0.56269
[99]	validation_0-logloss:0.56258
########## Train Metrics ##########
{'precision': 0.8880574678240047, 'recall': 0.4824390243902439, 'f1': 0.6252238963228322, 'log_loss': 0.41740249971399795, 'brier': 0.1307986783337842, 'roc_auc': 0.8818157931373675}

########## Test Metrics ##########
{'precision': 0.6267725467952354, 'recall': 0.2900262467191601, 'f1': 0.3965548178718823, 'log_loss': 0.5640445354063324, 'brier': 0.189320420270576, 'roc_auc': 0.6816451129683708}

